,id,name,username
0,1088261225153060864,GoHub Ventures,GoHubVentures
1,1232276995796586499,Ines Calabuig,InesCalabuig2
2,1162694149956603904,The Bridge,TheBridge_Tech
3,1085383992,Webcapitalriesgo.com,WCapitalRiesgo
4,27890913,El Referente,ElReferente
5,190658967,hayCANAL.com,haycanal
6,89141857,Emprenemjunts,emprenemjunts
7,196056785,ATREVIA,Atrevia
8,1018473762902114304,"Eioua, o aprendiz",Eioua_aprendiz
9,874916978665938945,Startup Valencia,Startup_VLC
10,604485175,Berta Otero,bertinha84
11,284115545,CEEI Valencia,ceeivalencia
12,12085582,diegodl,diegodl
13,1073622740,COITCV/AVIT,COITCV
14,1437833350732034050,Javier Polaris,JavierPolaris
15,14661878,carlosmcabo,carlosmcabo
16,10671232,Miki ãƒ„,_miki
17,40046861,Carlos M. Diaz,carlosmdh
18,1255794072280842240,Heavy Mental,HeavyMental_es
19,3319318173,LORIOT,LORIOTio
20,3175666499,elEconomistaCV,elEconomistaCV
21,1434890317640126469,Sergio Berbis,Sergio_Berbis
22,144581964,Fernando Serrano ğŸ‡ºğŸ‡¦,fernandojsg
23,427660452,Antonio MuÃ±iz,Antonio_Muniz_C
24,317352917,Mayte Tortosa Laso,mtortosal
25,276656109,Jorge OrdovÃ¡s,joobid
26,271028835,Valientes Emprendedores,valientesempren
27,1482505294232043523,didacjo,didacjo1
28,803255406,MÃ³nica Quintana,moquintana
29,1493264171705765890,Mulder,Mulder01198676
30,779234238977675264,Daniel Granados,DanielDanigran
31,147255980,Love is my message,k4rliky
32,401397656,FarmaInquieto,FarmaInquieto
33,1043115222,Christian Senra,Senra_Chriss
34,7154412,Javier G. Recuenco,Recuenco
35,15993641,Amalio A. Rey,arey
36,1003872445,Pau Mugarra,PauMugarra
37,212364786,Gonzalo OsÃ©s,designetworking
38,230190180,Miguel barros guerra,Bombabarros
39,140757340,Roberto Ballester,Roberballester
40,62495833,Vicente Marco,vmcasamayor
41,779899,Juan Antonio Torrero,jatorrero
42,1454470440513122305,Ãngel navarro batista,navarro_batista
43,49154622,Carlos Gonzalez,CarlosLGonzalez
44,1474204478983348227,danilo huertas,danilohuertas_h
45,421798449,VLCTechHub,VLCTechHub
46,1088043591681871872,La Product Conf & LPCx EspaÃ±a,LaProductConfES
47,56674550,Nacho CG,na5ho
48,55193695,Pelayo ArbuÃ©s,pelayoarbues
49,962578275162869760,Jairo P,PesetJairo
50,18955785,Javi PÃ©rez âš¡ ğŸ˜ Learning by doing. ğŸ¦¾ ğŸ’» ğŸ“š ğŸš€,JaviMostoles
51,15521945,Bill Murphy,wmurphy
52,10614452,Pablo J. Contreras.,pcontrer
53,175063066,P,Pocerillo
54,944737177,Pedro around the clouds,PedroAeriaa
55,1232105203,AdriÃ¡n MÃ©ndez,adriskou
56,457896514,Alejandro Gallardo,a_gallard
57,15653000,Enrique Blanco,enriquin
58,568101757,Imanol Anta,imanolanta00
59,1473907744671371268,Packaging Design,Design_pro1
60,1455515154133786625,ğŸš€ Tadatic,Tadatic_
61,90148487,âœ³ï¸ FundaciÃ³n InteRed,InteRed_ong
62,541058739,Digital Bourne,DigitalBourne
63,7631142,Gonzalo MartÃ­n,Gonzalomartin
64,103409751,MarÃ­a SÃ¡nchez GonzÃ¡lez (ğŸ“Œ tiempos hÃ­bridos),cibermarikiya
65,148160316,Nohelis Ruiz A. #Lifehacker,NohelisRuizA
66,29497240,Carlos Magro,c_magro
67,10575102,Juanjo Brizuela,juanjobrizuela
68,4628161,TÃ­scar Lara,tiscar
69,163586106,Escuela de Negocios,ENCamaraSevilla
70,1528649918306557952,Nacho Esteban,nachooatm82
71,41545659,Mario Lopez de Avila,nodosenlared
72,987388686,Juan Luis PavÃ³n,juanluispavon1
73,1336771626306854912,Bcas,Bcasapp
74,114739070,PeriÃ³dico PublicidAD,PdelaPublicidad
75,50588675,Alberto Blanco,Alberto_Blanco
76,2907682397,graphext,graphext
77,577561266,Alberto Pedrero,apedreroes
78,2979740235,Generation Spain,spaingeneration
79,3294953441,Jose Maria Torralba,JM_Torralba_
80,53089020,GabiÃ±a,gabinha
81,431035304,Irene M Morgado ğŸŒˆ,IrnMM
82,4295874994,KairÃ³s DS,kairos_ds
83,535255114,RubÃ©n Berrocal,BerrocalRuben
84,1978768458,COGITI Valencia,COGITIValencia
85,227327854,BURN EspaÃ±a ğŸ”¥,burn_es
86,734674933217931265,Mujeres a Seguir,MujeresaSeguir
87,15942584,capgemini_es,Capgemini_ES
88,1360217897008791554,Gemma R.B.,GemmaRBar
89,220072811,ITEP FormaciÃ³n,itep_es
90,91124440,MaÃ¯ R. Entem ğŸ‘©â€ğŸ’»ğŸ‡ªğŸ‡¦ğŸ‡¨ğŸ‡µğŸ‡ªğŸ‡ºğŸ‡¸ğŸ‡¬ğŸŒğŸš£â€â™€ï¸,mrentem
91,67597387,Alice Silver ğŸ³ï¸â€ğŸŒˆ,alicesilverpol
92,16512007,JM,jmnavarro
93,397537147,Andrea,AndreaMaganRey
94,3063927221,ali,alinnfm
95,147003255,Marcos de la Calle,marcosDLCS
96,761153947990097920,Adalab,Adalab_Digital
97,1026530062923968513,Codenotch,CodenotchMAD
98,1609031,MÃ¡nu Fosela,manufosela
99,127000294,Bea Jimenez,beajmnz
100,41110484,RaÃºl Cotrina,raulcotrina
101,1102950803843751936,Assembler Institute of Technology,assemblerinstit
102,1402182570314539009,TheFringe/LABS,TheFringeLABS
103,1197839987867373568,vocentoEventos,vocentoeventos
104,491498207,Kreab EspaÃ±a,KreabEspana
105,1941897590,Course Report,CourseReport
106,209496112,Carlos L. Guardiola,carlosguardiola
107,363153431,Pablo Oliete,pablooliete
108,742380996688023552,@Poderyliderazgo.cl,Poder_Liderazgo
109,414032513,PICKY,PICKYUAN
110,91372157,MyNews,MyNews_es
111,763323065199628288,Zeus,insidezeusdata
112,198936952,Michael Page EspaÃ±a,michaelpage_es
113,308530390,Mar Lopez,marobserva
114,589903453,FundaciÃ³n Universia,FUniversia
115,295720842,Pep Iberico,soyelsimo
116,73355170,Indra,IndraCompany
117,2819387949,Eduvigis Ortiz,EduvigisOrtiz
118,1319233294198857728,Women4Cyber_Spain,Women4Cyber_SP
119,1319221643634495489,AI_Bot,AIBot_CdH
120,981508377942659073,periciatecnologica,peritecno
121,1488306026025783301,Miriam Sanchez,soyuxpuntocom
122,124512688,Antonio LÃ³pez,antoniolopezg
123,720372640192405504,Zoom Tecnologico,zoomtecnochile
124,106344840,CÃ¡mara de Comercio de Sevilla,camaradesevilla
125,1025174114535923712,Valor Compartido,SoyValor
126,479678741,ACEC +,AssociacioACEC
127,53319655,Randall Solano | #TechUniversidad,randallsolanook
128,183583012,Ingeniero Titiritero,ing_titiritero
129,10045342,Carlos A. Marchena,cmarchena
130,966573471663828992,PymesMagazine,pymesmagazine
